Judge,Judge Nat.,Contestant,Contest Nat.,Score,Placement,Contest,Role,Difference
Valerie Salstrom,USA,Joris Focquaert,Belgium,9,12,Classic,Leader,3
Kenneth Norbelie,Sweden,Ona Elizbleta Visnevskyte,Lithuania,12,12,Classic,Follower,0
Mike Faltesek,USA,Ona Elizbleta Visnevskyte,Lithuania,11,12,Classic,Follower,1
Steven Mitchell,USA,Ona Elizbleta Visnevskyte,Lithuania,12,12,Classic,Follower,0
Lennart Westerlund,Sweden,Ona Elizbleta Visnevskyte,Lithuania,6,12,Classic,Follower,6
Casey Schneider,USA,Ona Elizbleta Visnevskyte,Lithuania,9,12,Classic,Follower,3
Marie Nanfeldt,Sweden,Ona Elizbleta Visnevskyte,Lithuania,11,12,Classic,Follower,1
Valerie Salstrom,USA,Ona Elizbleta Visnevskyte,Lithuania,9,12,Classic,Follower,3
Kate Hedin,USA,Adam Speen,USA,1,1,Balboa Strictly,Leader,0
David Rehm,USA,Adam Speen,USA,1,1,Balboa Strictly,Leader,0
Valerie Salstrom,USA,Adam Speen,USA,1,1,Balboa Strictly,Leader,0
Nalla Kim,Korea,Adam Speen,USA,3,1,Balboa Strictly,Leader,2
Nick Williams,USA,Adam Speen,USA,2,1,Balboa Strictly,Leader,1
Kate Hedin,USA,Nelle Cherry,USA,1,1,Balboa Strictly,Follower,0
David Rehm,USA,Nelle Cherry,USA,1,1,Balboa Strictly,Follower,0
Valerie Salstrom,USA,Nelle Cherry,USA,1,1,Balboa Strictly,Follower,0
Nalla Kim,Korea,Nelle Cherry,USA,3,1,Balboa Strictly,Follower,2
Nick Williams,USA,Nelle Cherry,USA,2,1,Balboa Strictly,Follower,1
Kate Hedin,USA,Bobby White,USA,2,2,Balboa Strictly,Leader,0
David Rehm,USA,Bobby White,USA,2,2,Balboa Strictly,Leader,0
Valerie Salstrom,USA,Bobby White,USA,2,2,Balboa Strictly,Leader,0
Nalla Kim,Korea,Bobby White,USA,2,2,Balboa Strictly,Leader,0
Nick Williams,USA,Bobby White,USA,1,2,Balboa Strictly,Leader,1
Kate Hedin,USA,Marie Nahnfeldt,Sweden,2,2,Balboa Strictly,Follower,0
David Rehm,USA,Marie Nahnfeldt,Sweden,2,2,Balboa Strictly,Follower,0
Valerie Salstrom,USA,Marie Nahnfeldt,Sweden,2,2,Balboa Strictly,Follower,0
Nalla Kim,Korea,Marie Nahnfeldt,Sweden,2,2,Balboa Strictly,Follower,0
Nick Williams,USA,Marie Nahnfeldt,Sweden,1,2,Balboa Strictly,Follower,1
Kate Hedin,USA,Todd Yannacone,USA,4,3,Balboa Strictly,Leader,1
David Rehm,USA,Todd Yannacone,USA,4,3,Balboa Strictly,Leader,1
Valerie Salstrom,USA,Todd Yannacone,USA,3,3,Balboa Strictly,Leader,0
Nalla Kim,Korea,Todd Yannacone,USA,1,3,Balboa Strictly,Leader,2
Nick Williams,USA,Todd Yannacone,USA,3,3,Balboa Strictly,Leader,0
Kate Hedin,USA,Mia Goldsmith,USA,4,3,Balboa Strictly,Follower,1
David Rehm,USA,Mia Goldsmith,USA,4,3,Balboa Strictly,Follower,1
Valerie Salstrom,USA,Mia Goldsmith,USA,3,3,Balboa Strictly,Follower,0
Nalla Kim,Korea,Mia Goldsmith,USA,1,3,Balboa Strictly,Follower,2
Nick Williams,USA,Mia Goldsmith,USA,3,3,Balboa Strictly,Follower,0
Kate Hedin,USA,Jeongwoo Hong,Korea,3,4,Balboa Strictly,Leader,1
David Rehm,USA,Jeongwoo Hong,Korea,3,4,Balboa Strictly,Leader,1
Valerie Salstrom,USA,Jeongwoo Hong,Korea,4,4,Balboa Strictly,Leader,0
Nalla Kim,Korea,Jeongwoo Hong,Korea,5,4,Balboa Strictly,Leader,1
Nick Williams,USA,Jeongwoo Hong,Korea,5,4,Balboa Strictly,Leader,1
Kate Hedin,USA,Crystal Lee,Korea,3,4,Balboa Strictly,Follower,1
David Rehm,USA,Crystal Lee,Korea,3,4,Balboa Strictly,Follower,1
Valerie Salstrom,USA,Crystal Lee,Korea,4,4,Balboa Strictly,Follower,0
Nalla Kim,Korea,Crystal Lee,Korea,5,4,Balboa Strictly,Follower,1
Nick Williams,USA,Crystal Lee,Korea,5,4,Balboa Strictly,Follower,1
Kate Hedin,USA,Patrick Szmidt,Canada,5,5,Balboa Strictly,Leader,0
David Rehm,USA,Patrick Szmidt,Canada,7,5,Balboa Strictly,Leader,2
Valerie Salstrom,USA,Patrick Szmidt,Canada,5,5,Balboa Strictly,Leader,0
Nalla Kim,Korea,Patrick Szmidt,Canada,6,5,Balboa Strictly,Leader,1
Nick Williams,USA,Patrick Szmidt,Canada,4,5,Balboa Strictly,Leader,1
Kate Hedin,USA,Natasha Ouimet,Canada,5,5,Balboa Strictly,Follower,0
David Rehm,USA,Natasha Ouimet,Canada,7,5,Balboa Strictly,Follower,2
Valerie Salstrom,USA,Natasha Ouimet,Canada,5,5,Balboa Strictly,Follower,0
Nalla Kim,Korea,Natasha Ouimet,Canada,6,5,Balboa Strictly,Follower,1
Nick Williams,USA,Natasha Ouimet,Canada,4,5,Balboa Strictly,Follower,1
Kate Hedin,USA,Jason Swihart,USA,6,6,Balboa Strictly,Leader,0
David Rehm,USA,Jason Swihart,USA,6,6,Balboa Strictly,Leader,0
Valerie Salstrom,USA,Jason Swihart,USA,6,6,Balboa Strictly,Leader,0
Nalla Kim,Korea,Jason Swihart,USA,7,6,Balboa Strictly,Leader,1
Nick Williams,USA,Jason Swihart,USA,6,6,Balboa Strictly,Leader,0
Kate Hedin,USA,Heather Ballew,USA,6,6,Balboa Strictly,Follower,0
David Rehm,USA,Heather Ballew,USA,6,6,Balboa Strictly,Follower,0
Valerie Salstrom,USA,Heather Ballew,USA,6,6,Balboa Strictly,Follower,0
Nalla Kim,Korea,Heather Ballew,USA,7,6,Balboa Strictly,Follower,1
Nick Williams,USA,Heather Ballew,USA,6,6,Balboa Strictly,Follower,0
Kate Hedin,USA,John Helveston,USA,7,7,Balboa Strictly,Leader,0
David Rehm,USA,John Helveston,USA,5,7,Balboa Strictly,Leader,2
Valerie Salstrom,USA,John Helveston,USA,7,7,Balboa Strictly,Leader,0
Nalla Kim,Korea,John Helveston,USA,8,7,Balboa Strictly,Leader,1
Nick Williams,USA,John Helveston,USA,8,7,Balboa Strictly,Leader,1
Kate Hedin,USA,Jennifer Lee,USA,7,7,Balboa Strictly,Follower,0
David Rehm,USA,Jennifer Lee,USA,5,7,Balboa Strictly,Follower,2
Valerie Salstrom,USA,Jennifer Lee,USA,7,7,Balboa Strictly,Follower,0
Nalla Kim,Korea,Jennifer Lee,USA,8,7,Balboa Strictly,Follower,1
Nick Williams,USA,Jennifer Lee,USA,8,7,Balboa Strictly,Follower,1
Kate Hedin,USA,David Lee,USA,8,8,Balboa Strictly,Leader,0
David Rehm,USA,David Lee,USA,8,8,Balboa Strictly,Leader,0
Valerie Salstrom,USA,David Lee,USA,8,8,Balboa Strictly,Leader,0
Nalla Kim,Korea,David Lee,USA,4,8,Balboa Strictly,Leader,4
Nick Williams,USA,David Lee,USA,7,8,Balboa Strictly,Leader,1
Kate Hedin,USA,Chelsea Lee,USA,8,8,Balboa Strictly,Follower,0
David Rehm,USA,Chelsea Lee,USA,8,8,Balboa Strictly,Follower,0
Valerie Salstrom,USA,Chelsea Lee,USA,8,8,Balboa Strictly,Follower,0
Nalla Kim,Korea,Chelsea Lee,USA,4,8,Balboa Strictly,Follower,4
Nick Williams,USA,Chelsea Lee,USA,7,8,Balboa Strictly,Follower,1
Nick Williams,USA,Adam Speen,USA,1,1,Balboa J&J,Leader,0
Valerie Salstrom,USA,Adam Speen,USA,1,1,Balboa J&J,Leader,0
Marie Nanfeldt,Sweden,Adam Speen,USA,1,1,Balboa J&J,Leader,0
David Rehm,USA,Adam Speen,USA,1,1,Balboa J&J,Leader,0
Kate Hedin,USA,Adam Speen,USA,1,1,Balboa J&J,Leader,0
Nick Williams,USA,Mia Goldsmith,USA,1,1,Balboa J&J,Follower,0
Valerie Salstrom,USA,Mia Goldsmith,USA,1,1,Balboa J&J,Follower,0
Marie Nanfeldt,Sweden,Mia Goldsmith,USA,1,1,Balboa J&J,Follower,0
David Rehm,USA,Mia Goldsmith,USA,1,1,Balboa J&J,Follower,0
Kate Hedin,USA,Mia Goldsmith,USA,1,1,Balboa J&J,Follower,0
Nick Williams,USA,Todd Yannacone,USA,5,2,Balboa J&J,Leader,3
Valerie Salstrom,USA,Todd Yannacone,USA,2,2,Balboa J&J,Leader,0
Marie Nanfeldt,Sweden,Todd Yannacone,USA,2,2,Balboa J&J,Leader,0
David Rehm,USA,Todd Yannacone,USA,3,2,Balboa J&J,Leader,1
Kate Hedin,USA,Todd Yannacone,USA,3,2,Balboa J&J,Leader,1
Nick Williams,USA,Nelle Cherry,USA,5,2,Balboa J&J,Follower,3
Valerie Salstrom,USA,Nelle Cherry,USA,2,2,Balboa J&J,Follower,0
Marie Nanfeldt,Sweden,Nelle Cherry,USA,2,2,Balboa J&J,Follower,0
David Rehm,USA,Nelle Cherry,USA,3,2,Balboa J&J,Follower,1
Kate Hedin,USA,Nelle Cherry,USA,3,2,Balboa J&J,Follower,1
Nick Williams,USA,Jason Swihart,USA,2,3,Balboa J&J,Leader,1
Valerie Salstrom,USA,Jason Swihart,USA,3,3,Balboa J&J,Leader,0
Marie Nanfeldt,Sweden,Jason Swihart,USA,4,3,Balboa J&J,Leader,1
David Rehm,USA,Jason Swihart,USA,4,3,Balboa J&J,Leader,1
Kate Hedin,USA,Jason Swihart,USA,2,3,Balboa J&J,Leader,1
Nick Williams,USA,Jennifer Lee,USA,2,3,Balboa J&J,Follower,1
Valerie Salstrom,USA,Jennifer Lee,USA,3,3,Balboa J&J,Follower,0
Marie Nanfeldt,Sweden,Jennifer Lee,USA,4,3,Balboa J&J,Follower,1
David Rehm,USA,Jennifer Lee,USA,4,3,Balboa J&J,Follower,1
Kate Hedin,USA,Jennifer Lee,USA,2,3,Balboa J&J,Follower,1
Nick Williams,USA,Soochan Lee,Korea,4,4,Balboa J&J,Leader,0
Valerie Salstrom,USA,Soochan Lee,Korea,5,4,Balboa J&J,Leader,1
Marie Nanfeldt,Sweden,Soochan Lee,Korea,3,4,Balboa J&J,Leader,1
David Rehm,USA,Soochan Lee,Korea,6,4,Balboa J&J,Leader,2
Kate Hedin,USA,Soochan Lee,Korea,4,4,Balboa J&J,Leader,0
Nick Williams,USA,Teni Lopez-Cardenas,USA,4,4,Balboa J&J,Follower,0
Valerie Salstrom,USA,Teni Lopez-Cardenas,USA,5,4,Balboa J&J,Follower,1
Marie Nanfeldt,Sweden,Teni Lopez-Cardenas,USA,3,4,Balboa J&J,Follower,1
David Rehm,USA,Teni Lopez-Cardenas,USA,6,4,Balboa J&J,Follower,2
Kate Hedin,USA,Teni Lopez-Cardenas,USA,4,4,Balboa J&J,Follower,0
Nick Williams,USA,David Lee,USA,6,5,Balboa J&J,Leader,1
Valerie Salstrom,USA,David Lee,USA,6,5,Balboa J&J,Leader,1
Marie Nanfeldt,Sweden,David Lee,USA,5,5,Balboa J&J,Leader,0
David Rehm,USA,David Lee,USA,2,5,Balboa J&J,Leader,3
Kate Hedin,USA,David Lee,USA,5,5,Balboa J&J,Leader,0
Nick Williams,USA,Heather Ballew,USA,6,5,Balboa J&J,Follower,1
Valerie Salstrom,USA,Heather Ballew,USA,6,5,Balboa J&J,Follower,1
Marie Nanfeldt,Sweden,Heather Ballew,USA,5,5,Balboa J&J,Follower,0
David Rehm,USA,Heather Ballew,USA,2,5,Balboa J&J,Follower,3
Kate Hedin,USA,Heather Ballew,USA,5,5,Balboa J&J,Follower,0
Nick Williams,USA,Jeongwoo Hong,Korea,3,6,Balboa J&J,Leader,3
Valerie Salstrom,USA,Jeongwoo Hong,Korea,4,6,Balboa J&J,Leader,2
Marie Nanfeldt,Sweden,Jeongwoo Hong,Korea,6,6,Balboa J&J,Leader,0
David Rehm,USA,Jeongwoo Hong,Korea,5,6,Balboa J&J,Leader,1
Kate Hedin,USA,Jeongwoo Hong,Korea,6,6,Balboa J&J,Leader,0
Nick Williams,USA,Gaby Cook,USA,3,6,Balboa J&J,Follower,3
Valerie Salstrom,USA,Gaby Cook,USA,4,6,Balboa J&J,Follower,2
Marie Nanfeldt,Sweden,Gaby Cook,USA,6,6,Balboa J&J,Follower,0
David Rehm,USA,Gaby Cook,USA,5,6,Balboa J&J,Follower,1
Kate Hedin,USA,Gaby Cook,USA,6,6,Balboa J&J,Follower,0
Kenneth Norbelie,Sweden,William Mauvais,France,2,1,Pro-Am Follows,Leader,1
Helena Norbelie,Sweden,William Mauvais,France,1,1,Pro-Am Follows,Leader,0
Steven Mitchell,USA,William Mauvais,France,3,1,Pro-Am Follows,Leader,2
Lennart Westerlund,Sweden,William Mauvais,France,1,1,Pro-Am Follows,Leader,0
Andy Reid,USA,William Mauvais,France,3,1,Pro-Am Follows,Leader,2
Nalla Kim,Korea,William Mauvais,France,2,1,Pro-Am Follows,Leader,1
Casey Schneider,USA,William Mauvais,France,2,1,Pro-Am Follows,Leader,1
Kenneth Norbelie,Sweden,Irene Mauvais,Canada,2,1,Pro-Am Follows,Follower,1
Helena Norbelie,Sweden,Irene Mauvais,Canada,1,1,Pro-Am Follows,Follower,0
Steven Mitchell,USA,Irene Mauvais,Canada,3,1,Pro-Am Follows,Follower,2
Lennart Westerlund,Sweden,Irene Mauvais,Canada,1,1,Pro-Am Follows,Follower,0
Andy Reid,USA,Irene Mauvais,Canada,3,1,Pro-Am Follows,Follower,2
Nalla Kim,Korea,Irene Mauvais,Canada,2,1,Pro-Am Follows,Follower,1
Casey Schneider,USA,Irene Mauvais,Canada,2,1,Pro-Am Follows,Follower,1
Kenneth Norbelie,Sweden,Remy Kouakou Kouame,France,1,2,Pro-Am Follows,Leader,1
Helena Norbelie,Sweden,Remy Kouakou Kouame,France,2,2,Pro-Am Follows,Leader,0
Steven Mitchell,USA,Remy Kouakou Kouame,France,2,2,Pro-Am Follows,Leader,0
Lennart Westerlund,Sweden,Remy Kouakou Kouame,France,2,2,Pro-Am Follows,Leader,0
Andy Reid,USA,Remy Kouakou Kouame,France,6,2,Pro-Am Follows,Leader,4
Nalla Kim,Korea,Remy Kouakou Kouame,France,3,2,Pro-Am Follows,Leader,1
Casey Schneider,USA,Remy Kouakou Kouame,France,5,2,Pro-Am Follows,Leader,3
Kenneth Norbelie,Sweden,Eve Kouakou Kouame,France,1,2,Pro-Am Follows,Follower,1
Helena Norbelie,Sweden,Eve Kouakou Kouame,France,2,2,Pro-Am Follows,Follower,0
Steven Mitchell,USA,Eve Kouakou Kouame,France,2,2,Pro-Am Follows,Follower,0
Lennart Westerlund,Sweden,Eve Kouakou Kouame,France,2,2,Pro-Am Follows,Follower,0
Andy Reid,USA,Eve Kouakou Kouame,France,6,2,Pro-Am Follows,Follower,4
Nalla Kim,Korea,Eve Kouakou Kouame,France,3,2,Pro-Am Follows,Follower,1
Casey Schneider,USA,Eve Kouakou Kouame,France,5,2,Pro-Am Follows,Follower,3
Kenneth Norbelie,Sweden,Peter Strom,USA,3,3,Pro-Am Follows,Leader,0
Helena Norbelie,Sweden,Peter Strom,USA,3,3,Pro-Am Follows,Leader,0
Steven Mitchell,USA,Peter Strom,USA,4,3,Pro-Am Follows,Leader,1
Lennart Westerlund,Sweden,Peter Strom,USA,6,3,Pro-Am Follows,Leader,3
Andy Reid,USA,Peter Strom,USA,1,3,Pro-Am Follows,Leader,2
Nalla Kim,Korea,Peter Strom,USA,1,3,Pro-Am Follows,Leader,2
Casey Schneider,USA,Peter Strom,USA,1,3,Pro-Am Follows,Leader,2
Kenneth Norbelie,Sweden,Alexis Davila,USA,3,3,Pro-Am Follows,Follower,0
Helena Norbelie,Sweden,Alexis Davila,USA,3,3,Pro-Am Follows,Follower,0
Steven Mitchell,USA,Alexis Davila,USA,4,3,Pro-Am Follows,Follower,1
Lennart Westerlund,Sweden,Alexis Davila,USA,6,3,Pro-Am Follows,Follower,3
Andy Reid,USA,Alexis Davila,USA,1,3,Pro-Am Follows,Follower,2
Nalla Kim,Korea,Alexis Davila,USA,1,3,Pro-Am Follows,Follower,2
Casey Schneider,USA,Alexis Davila,USA,1,3,Pro-Am Follows,Follower,2
Kenneth Norbelie,Sweden,Jb Mino,France,5,4,Pro-Am Follows,Leader,1
Helena Norbelie,Sweden,Jb Mino,France,5,4,Pro-Am Follows,Leader,1
Steven Mitchell,USA,Jb Mino,France,1,4,Pro-Am Follows,Leader,3
Lennart Westerlund,Sweden,Jb Mino,France,4,4,Pro-Am Follows,Leader,0
Andy Reid,USA,Jb Mino,France,2,4,Pro-Am Follows,Leader,2
Nalla Kim,Korea,Jb Mino,France,5,4,Pro-Am Follows,Leader,1
Casey Schneider,USA,Jb Mino,France,3,4,Pro-Am Follows,Leader,1
Kenneth Norbelie,Sweden,Mihanta Rakotoarisoa,France,5,4,Pro-Am Follows,Follower,1
Helena Norbelie,Sweden,Mihanta Rakotoarisoa,France,5,4,Pro-Am Follows,Follower,1
Steven Mitchell,USA,Mihanta Rakotoarisoa,France,1,4,Pro-Am Follows,Follower,3
Lennart Westerlund,Sweden,Mihanta Rakotoarisoa,France,4,4,Pro-Am Follows,Follower,0
Andy Reid,USA,Mihanta Rakotoarisoa,France,2,4,Pro-Am Follows,Follower,2
Nalla Kim,Korea,Mihanta Rakotoarisoa,France,5,4,Pro-Am Follows,Follower,1
Casey Schneider,USA,Mihanta Rakotoarisoa,France,3,4,Pro-Am Follows,Follower,1
Kenneth Norbelie,Sweden,Kevin St Laurent,USA,4,5,Pro-Am Follows,Leader,1
Helena Norbelie,Sweden,Kevin St Laurent,USA,4,5,Pro-Am Follows,Leader,1
Steven Mitchell,USA,Kevin St Laurent,USA,6,5,Pro-Am Follows,Leader,1
Lennart Westerlund,Sweden,Kevin St Laurent,USA,5,5,Pro-Am Follows,Leader,0
Andy Reid,USA,Kevin St Laurent,USA,5,5,Pro-Am Follows,Leader,0
Nalla Kim,Korea,Kevin St Laurent,USA,4,5,Pro-Am Follows,Leader,1
Casey Schneider,USA,Kevin St Laurent,USA,6,5,Pro-Am Follows,Leader,1
Kenneth Norbelie,Sweden,Eva Strelets,Ukraine,4,5,Pro-Am Follows,Follower,1
Helena Norbelie,Sweden,Eva Strelets,Ukraine,4,5,Pro-Am Follows,Follower,1
Steven Mitchell,USA,Eva Strelets,Ukraine,6,5,Pro-Am Follows,Follower,1
Lennart Westerlund,Sweden,Eva Strelets,Ukraine,5,5,Pro-Am Follows,Follower,0
Andy Reid,USA,Eva Strelets,Ukraine,5,5,Pro-Am Follows,Follower,0
Nalla Kim,Korea,Eva Strelets,Ukraine,4,5,Pro-Am Follows,Follower,1
Casey Schneider,USA,Eva Strelets,Ukraine,6,5,Pro-Am Follows,Follower,1
Kenneth Norbelie,Sweden,Adam Brozowski,USA,6,6,Pro-Am Follows,Leader,0
Helena Norbelie,Sweden,Adam Brozowski,USA,6,6,Pro-Am Follows,Leader,0
Steven Mitchell,USA,Adam Brozowski,USA,5,6,Pro-Am Follows,Leader,1
Lennart Westerlund,Sweden,Adam Brozowski,USA,7,6,Pro-Am Follows,Leader,1
Andy Reid,USA,Adam Brozowski,USA,7,6,Pro-Am Follows,Leader,1
Nalla Kim,Korea,Adam Brozowski,USA,7,6,Pro-Am Follows,Leader,1
Casey Schneider,USA,Adam Brozowski,USA,4,6,Pro-Am Follows,Leader,2
Kenneth Norbelie,Sweden,Dasha Kuzmenko,Ukraine,6,6,Pro-Am Follows,Follower,0
Helena Norbelie,Sweden,Dasha Kuzmenko,Ukraine,6,6,Pro-Am Follows,Follower,0
Steven Mitchell,USA,Dasha Kuzmenko,Ukraine,5,6,Pro-Am Follows,Follower,1
Lennart Westerlund,Sweden,Dasha Kuzmenko,Ukraine,7,6,Pro-Am Follows,Follower,1
Andy Reid,USA,Dasha Kuzmenko,Ukraine,7,6,Pro-Am Follows,Follower,1
Nalla Kim,Korea,Dasha Kuzmenko,Ukraine,7,6,Pro-Am Follows,Follower,1
Casey Schneider,USA,Dasha Kuzmenko,Ukraine,4,6,Pro-Am Follows,Follower,2
Kenneth Norbelie,Sweden,Soochan Lee,Korea,7,7,Pro-Am Follows,Leader,0
Helena Norbelie,Sweden,Soochan Lee,Korea,7,7,Pro-Am Follows,Leader,0
Steven Mitchell,USA,Soochan Lee,Korea,7,7,Pro-Am Follows,Leader,0
Lennart Westerlund,Sweden,Soochan Lee,Korea,3,7,Pro-Am Follows,Leader,4
Andy Reid,USA,Soochan Lee,Korea,4,7,Pro-Am Follows,Leader,3
Nalla Kim,Korea,Soochan Lee,Korea,6,7,Pro-Am Follows,Leader,1
Casey Schneider,USA,Soochan Lee,Korea,7,7,Pro-Am Follows,Leader,0
Kenneth Norbelie,Sweden,Sunghee Cho,Korea,7,7,Pro-Am Follows,Follower,0
Helena Norbelie,Sweden,Sunghee Cho,Korea,7,7,Pro-Am Follows,Follower,0
Steven Mitchell,USA,Sunghee Cho,Korea,7,7,Pro-Am Follows,Follower,0
Lennart Westerlund,Sweden,Sunghee Cho,Korea,3,7,Pro-Am Follows,Follower,4
Andy Reid,USA,Sunghee Cho,Korea,4,7,Pro-Am Follows,Follower,3
Nalla Kim,Korea,Sunghee Cho,Korea,6,7,Pro-Am Follows,Follower,1
Casey Schneider,USA,Sunghee Cho,Korea,7,7,Pro-Am Follows,Follower,0
Kenneth Norbelie,Sweden,Cyle Dixon,USA,3,1,Pro-AM Leaders,Leader,2
Helena Norbelie,Sweden,Cyle Dixon,USA,1,1,Pro-AM Leaders,Leader,0
Steven Mitchell,USA,Cyle Dixon,USA,9,1,Pro-AM Leaders,Leader,8
Lennart Westerlund,Sweden,Cyle Dixon,USA,1,1,Pro-AM Leaders,Leader,0
Andy Reid,USA,Cyle Dixon,USA,6,1,Pro-AM Leaders,Leader,5
Nalla Kim,Korea,Cyle Dixon,USA,3,1,Pro-AM Leaders,Leader,2
Casey Schneider,USA,Cyle Dixon,USA,3,1,Pro-AM Leaders,Leader,2
Kenneth Norbelie,Sweden,Naomi Uyama,USA,3,1,Pro-AM Leaders,Follower,2
Helena Norbelie,Sweden,Naomi Uyama,USA,1,1,Pro-AM Leaders,Follower,0
Steven Mitchell,USA,Naomi Uyama,USA,9,1,Pro-AM Leaders,Follower,8
Lennart Westerlund,Sweden,Naomi Uyama,USA,1,1,Pro-AM Leaders,Follower,0
Andy Reid,USA,Naomi Uyama,USA,6,1,Pro-AM Leaders,Follower,5
Nalla Kim,Korea,Naomi Uyama,USA,3,1,Pro-AM Leaders,Follower,2
Casey Schneider,USA,Naomi Uyama,USA,3,1,Pro-AM Leaders,Follower,2
Kenneth Norbelie,Sweden,Julien Stoehr,France,5,2,Pro-AM Leaders,Leader,3
Helena Norbelie,Sweden,Julien Stoehr,France,2,2,Pro-AM Leaders,Leader,0
Steven Mitchell,USA,Julien Stoehr,France,1,2,Pro-AM Leaders,Leader,1
Lennart Westerlund,Sweden,Julien Stoehr,France,3,2,Pro-AM Leaders,Leader,1
Andy Reid,USA,Julien Stoehr,France,8,2,Pro-AM Leaders,Leader,6
Nalla Kim,Korea,Julien Stoehr,France,1,2,Pro-AM Leaders,Leader,1
Casey Schneider,USA,Julien Stoehr,France,4,2,Pro-AM Leaders,Leader,2
Kenneth Norbelie,Sweden,Maeva Truntzer,France,5,2,Pro-AM Leaders,Follower,3
Helena Norbelie,Sweden,Maeva Truntzer,France,2,2,Pro-AM Leaders,Follower,0
Steven Mitchell,USA,Maeva Truntzer,France,1,2,Pro-AM Leaders,Follower,1
Lennart Westerlund,Sweden,Maeva Truntzer,France,3,2,Pro-AM Leaders,Follower,1
Andy Reid,USA,Maeva Truntzer,France,8,2,Pro-AM Leaders,Follower,6
Nalla Kim,Korea,Maeva Truntzer,France,1,2,Pro-AM Leaders,Follower,1
Casey Schneider,USA,Maeva Truntzer,France,4,2,Pro-AM Leaders,Follower,2
Kenneth Norbelie,Sweden,Justin Mann,USA,8,3,Pro-AM Leaders,Leader,5
Helena Norbelie,Sweden,Justin Mann,USA,3,3,Pro-AM Leaders,Leader,0
Steven Mitchell,USA,Justin Mann,USA,6,3,Pro-AM Leaders,Leader,3
Lennart Westerlund,Sweden,Justin Mann,USA,4,3,Pro-AM Leaders,Leader,1
Andy Reid,USA,Justin Mann,USA,3,3,Pro-AM Leaders,Leader,0
Nalla Kim,Korea,Justin Mann,USA,4,3,Pro-AM Leaders,Leader,1
Casey Schneider,USA,Justin Mann,USA,1,3,Pro-AM Leaders,Leader,2
Kenneth Norbelie,Sweden,Laura Glaess,USA,8,3,Pro-AM Leaders,Follower,5
Helena Norbelie,Sweden,Laura Glaess,USA,3,3,Pro-AM Leaders,Follower,0
Steven Mitchell,USA,Laura Glaess,USA,6,3,Pro-AM Leaders,Follower,3
Lennart Westerlund,Sweden,Laura Glaess,USA,4,3,Pro-AM Leaders,Follower,1
Andy Reid,USA,Laura Glaess,USA,3,3,Pro-AM Leaders,Follower,0
Nalla Kim,Korea,Laura Glaess,USA,4,3,Pro-AM Leaders,Follower,1
Casey Schneider,USA,Laura Glaess,USA,1,3,Pro-AM Leaders,Follower,2
Kenneth Norbelie,Sweden,Felipe Braga,Brazil,1,4,Pro-AM Leaders,Leader,3
Helena Norbelie,Sweden,Felipe Braga,Brazil,8,4,Pro-AM Leaders,Leader,4
Steven Mitchell,USA,Felipe Braga,Brazil,2,4,Pro-AM Leaders,Leader,2
Lennart Westerlund,Sweden,Felipe Braga,Brazil,8,4,Pro-AM Leaders,Leader,4
Andy Reid,USA,Felipe Braga,Brazil,1,4,Pro-AM Leaders,Leader,3
Nalla Kim,Korea,Felipe Braga,Brazil,5,4,Pro-AM Leaders,Leader,1
Casey Schneider,USA,Felipe Braga,Brazil,6,4,Pro-AM Leaders,Leader,2
Kenneth Norbelie,Sweden,Jo Hoffberg,USA,1,4,Pro-AM Leaders,Follower,3
Helena Norbelie,Sweden,Jo Hoffberg,USA,8,4,Pro-AM Leaders,Follower,4
Steven Mitchell,USA,Jo Hoffberg,USA,2,4,Pro-AM Leaders,Follower,2
Lennart Westerlund,Sweden,Jo Hoffberg,USA,8,4,Pro-AM Leaders,Follower,4
Andy Reid,USA,Jo Hoffberg,USA,1,4,Pro-AM Leaders,Follower,3
Nalla Kim,Korea,Jo Hoffberg,USA,5,4,Pro-AM Leaders,Follower,1
Casey Schneider,USA,Jo Hoffberg,USA,6,4,Pro-AM Leaders,Follower,2
Kenneth Norbelie,Sweden,Timothy Korkuc,USA,7,5,Pro-AM Leaders,Leader,2
Helena Norbelie,Sweden,Timothy Korkuc,USA,4,5,Pro-AM Leaders,Leader,1
Steven Mitchell,USA,Timothy Korkuc,USA,7,5,Pro-AM Leaders,Leader,2
Lennart Westerlund,Sweden,Timothy Korkuc,USA,5,5,Pro-AM Leaders,Leader,0
Andy Reid,USA,Timothy Korkuc,USA,5,5,Pro-AM Leaders,Leader,0
Nalla Kim,Korea,Timothy Korkuc,USA,9,5,Pro-AM Leaders,Leader,4
Casey Schneider,USA,Timothy Korkuc,USA,5,5,Pro-AM Leaders,Leader,0
Kenneth Norbelie,Sweden,Jo Hoffberg,USA,7,5,Pro-AM Leaders,Follower,2
Helena Norbelie,Sweden,Jo Hoffberg,USA,4,5,Pro-AM Leaders,Follower,1
Steven Mitchell,USA,Jo Hoffberg,USA,7,5,Pro-AM Leaders,Follower,2
Lennart Westerlund,Sweden,Jo Hoffberg,USA,5,5,Pro-AM Leaders,Follower,0
Andy Reid,USA,Jo Hoffberg,USA,5,5,Pro-AM Leaders,Follower,0
Nalla Kim,Korea,Jo Hoffberg,USA,9,5,Pro-AM Leaders,Follower,4
Casey Schneider,USA,Jo Hoffberg,USA,5,5,Pro-AM Leaders,Follower,0
